Date,Price
09/01/1990,100.4577362
30/01/1990,110.9257881
12/07/1990,124.855201
14/07/1992,133.3289493
15/07/1992,133.4452402
16/07/1992,134.0529574
17/07/1992,134.0533183
20/07/1992,133.6220634
21/07/1992,133.6812913
22/07/1992,134.1684147
23/07/1992,134.5123564
24/07/1992,134.0996976
27/07/1992,133.9643311
28/07/1992,133.3228896
29/07/1992,133.8770898
30/07/1992,133.9099521
31/07/1992,133.4977779
03/08/1992,134.1628289
04/08/1992,134.3350635
05/08/1992,134.9005658
06/08/1992,135.1494037
07/08/1992,134.5967001
10/08/1992,134.6004627
11/08/1992,134.3818897
12/08/1992,134.6391064
13/08/1992,134.3724684
14/08/1992,134.5342643
17/08/1992,134.2155828
18/08/1992,133.6702108
19/08/1992,134.2150612
20/08/1992,134.6168234
21/08/1992,135.2700088
24/08/1992,135.6739087
25/08/1992,135.4877934
26/08/1992,135.8458949
27/08/1992,135.4007685
28/08/1992,135.7251879
31/08/1992,135.895202
01/09/1992,135.8368952
02/09/1992,136.505276
03/09/1992,136.543618
04/09/1992,136.315526
07/09/1992,136.2064631
08/09/1992,135.7282731
09/09/1992,135.1798841
10/09/1992,135.2236016
11/09/1992,135.8398427
14/09/1992,135.6846351
15/09/1992,135.1293035
16/09/1992,135.4623633
17/09/1992,135.5000731
18/09/1992,135.9970188
21/09/1992,135.3458132
22/09/1992,135.2545911
17/03/1993,155.8201696
18/03/1993,152.5140304
19/03/1993,152.1710413
22/03/1993,152.275249
